,no,time,xc,yc,v_x,v_y,v_n_x,v_n_y,near_1_dis_x,near_1_dis_y,near_1_v_x,near_1_v_y,near_2_dis_x,near_2_dis_y,near_2_v_x,near_2_v_y,near_3_dis_x,near_3_dis_y,near_3_v_x,near_3_v_y,near_4_dis_x,near_4_dis_y,near_4_v_x,near_4_v_y,near_5_dis_x,near_5_dis_y,near_5_v_x,near_5_v_y,near_cnt
0,1,0,4.03638,0.8755199999999999,0.0,0.0,-0.4126999999999992,0.377200000000002,-0.9793666666666665,0.71079,0.0,0.0,-0.6148366666666665,0.7359366666666667,0.0,0.0,-0.8830766666666667,0.5095966666666667,0.0,0.0,0.9518533333333336,0.4781599999999999,0.0,0.0,-0.6904933333333334,0.4781599999999999,0.0,0.0,5
1,2,0,3.97448,1.74315,0.0,0.0,0.0,0.1886999999999972,-0.9037100000000002,0.7988066666666667,0.0,0.0,0.93122,0.76737,0.0,0.0,0.9793666666666665,-0.71079,0.0,0.0,-0.63547,-0.9748533333333332,0.0,0.0,-0.7111266666666669,0.76737,0.0,0.0,5
2,3,0,2.88089,1.6677099999999996,0.0,0.0,0.0,0.0,0.9243433333333332,0.7422233333333332,0.0,0.0,-0.7180066666666667,0.9056933333333331,0.0,0.0,0.7317599999999997,0.7736599999999999,0.0,0.0,0.63547,0.9748533333333332,0.0,0.0,-0.7592733333333334,0.6793533333333333,0.0,0.0,5
3,4,0,2.03491,1.9506300000000003,0.0,0.0,0.20629999999999704,0.188600000000001,0.9587333333333333,0.7736600000000001,0.0,0.0,0.7180066666666667,-0.9056933333333331,0.0,0.0,0.6423499999999998,0.8365300000000001,0.0,0.0,0.9518566666666667,0.5473200000000003,0.0,0.0,0.6010833333333332,0.6416266666666666,0.0,0.0,5
4,5,0,2.15871,2.62965,0.0,0.0,0.0,0.0,0.9931233333333335,0.7736600000000001,0.0,0.0,-0.9587333333333333,-0.7736600000000001,0.0,0.0,0.6836166666666665,-0.9371300000000001,0.0,0.0,0.6423499999999998,0.8679666666666664,0.0,0.0,0.7592733333333334,-0.6793533333333333,0.0,0.0,5
5,6,0,3.1078600000000005,2.44104,0.0,0.0,-0.20630000000000592,0.0,0.8074166666666667,-0.9685633333333333,0.0,0.0,0.9587333333333333,0.8050966666666666,0.0,0.0,-0.9243433333333332,-0.7422233333333332,0.0,0.0,-0.6836166666666665,0.9371300000000001,0.0,0.0,0.6423466666666668,1.0,0.0,0.0,5
6,7,0,3.6856100000000005,2.34673,0.0,0.0,0.20629999999998816,0.5657999999999941,0.8349300000000003,0.9685633333333333,0.0,0.0,-0.8074166666666667,0.9685633333333333,0.0,0.0,0.9037100000000002,-0.7988066666666667,0.0,0.0,-0.8486833333333333,0.7736599999999999,0.0,0.0,0.9174666666666665,0.6982133333333336,0.0,0.0,5
7,8,0,4.18082,2.44104,0.0,0.0,0.8253000000000021,-0.18870000000000609,-0.8349300000000003,-0.9685633333333333,0.0,0.0,-0.93122,-0.76737,0.0,0.0,-0.9174633333333336,0.7296500000000004,0.0,0.0,-0.6423466666666668,1.0,0.0,0.0,-0.6836133333333336,0.8050966666666666,0.0,0.0,5
8,9,0,3.9332100000000008,3.252089999999999,0.0,0.0,0.20639999999999326,0.18860000000000987,-0.76615,-0.9245533333333338,0.0,0.0,0.9174633333333336,-0.7296500000000004,0.0,0.0,-0.7317633333333331,0.8994066666666664,0.0,0.0,1.0,0.704503333333333,0.0,0.0,-0.9174666666666665,-0.6982133333333336,0.0,0.0,5
9,10,0,3.2316600000000006,3.0257500000000004,0.0,0.0,0.0,0.0,-0.9656133333333331,0.8239600000000001,0.0,0.0,-0.9587333333333333,-0.8050966666666666,0.0,0.0,0.76615,0.9245533333333338,0.0,0.0,0.8486833333333333,-0.7736599999999999,0.0,0.0,1.0,0.6730666666666669,0.0,0.0,5
