,no,time,xc,yc,v_x,v_y,v_n_x,v_n_y,near_1_dis_x,near_1_dis_y,near_1_v_x,near_1_v_y,near_2_dis_x,near_2_dis_y,near_2_v_x,near_2_v_y,near_3_dis_x,near_3_dis_y,near_3_v_x,near_3_v_y,near_4_dis_x,near_4_dis_y,near_4_v_x,near_4_v_y,near_5_dis_x,near_5_dis_y,near_5_v_x,near_5_v_y,near_cnt
0,1,0,4.73793,1.1395800000000005,0.0,0.0,0.0,0.0,-0.8005399999999998,0.8176700000000002,0.0,0.0,-0.8005399999999998,-0.7925233333333331,0.0,0.0,-0.6836166666666665,-0.9056933333333331,0.0,0.0,-0.594203333333333,0.7170733333333335,0.0,0.0,-0.47727666666666657,0.8113833333333332,0.0,0.0,5
1,2,0,4.13955,0.51715,0.0,0.0,0.0,0.0,-0.8830766666666667,0.8868300000000001,0.0,0.0,0.8005399999999998,0.7925233333333331,0.0,0.0,1.0,0.6101933333333334,0.0,0.0,-0.6767366666666668,0.6039066666666664,0.0,0.0,-0.7936633333333333,0.5095966666666667,0.0,0.0,5
2,3,0,3.78878,0.8566599999999998,0.0,0.0,0.0,0.0,0.8830766666666667,-0.8868300000000001,0.0,0.0,0.8830766666666667,0.7233633333333334,0.0,0.0,0.6836166666666665,0.9056933333333331,0.0,0.0,-0.79366,0.7170766666666664,0.0,0.0,-0.9105866666666665,0.6227666666666665,0.0,0.0,5
3,4,0,4.13955,1.6865699999999997,0.0,0.0,0.0,0.0,-0.7936633333333333,0.8994033333333332,0.0,0.0,0.8005399999999998,-0.8176700000000002,0.0,0.0,-0.8830766666666667,-0.7233633333333334,0.0,0.0,-0.6767366666666668,0.993713333333333,0.0,0.0,1.0,-0.6101933333333334,0.0,0.0,5
4,5,0,3.5205399999999996,1.9883600000000001,0.0,0.0,0.0,-0.1886999999999972,-0.8830733333333335,-0.9056900000000002,0.0,0.0,0.7936633333333333,-0.8994033333333332,0.0,0.0,-0.7936633333333335,0.8742566666666667,0.0,0.0,0.9587333333333333,0.7422266666666666,0.0,0.0,0.9105866666666665,-0.6227666666666665,0.0,0.0,5
5,6,0,3.16976,1.7054300000000007,0.0,0.0,0.20639999999999326,0.0,0.8830733333333335,0.9056900000000002,0.0,0.0,-0.91059,0.7799466666666669,0.0,0.0,0.6767366666666668,-0.993713333333333,0.0,0.0,0.79366,-0.7170766666666664,0.0,0.0,0.8418066666666668,0.6479166666666669,0.0,0.0,5
6,7,0,2.90153,2.36559,0.0,0.0,0.4125999999999941,-0.377200000000002,0.91059,-0.7799466666666669,0.0,0.0,0.7936633333333335,-0.8742566666666667,0.0,0.0,-0.9656099999999999,0.7422233333333335,0.0,0.0,0.7523966666666668,0.86797,0.0,0.0,-0.6629799999999999,0.8868300000000001,0.0,0.0,5
7,8,0,1.8904699999999997,2.7051,0.0,0.0,0.0,-0.7545000000000002,1.0,0.6667766666666666,0.0,0.0,0.69737,0.8553933333333333,0.0,0.0,0.6629799999999999,-0.8868300000000001,0.0,0.0,0.7730266666666665,0.59762,0.0,0.0,0.6148366666666665,0.6416299999999999,0.0,0.0,5
8,9,0,3.6443399999999997,2.76168,0.0,0.0,0.0,0.0,0.8830766666666664,0.8365300000000003,0.0,0.0,-0.9587333333333333,-0.7422266666666666,0.0,0.0,-0.7523966666666668,-0.86797,0.0,0.0,-0.7180066666666667,0.8742533333333334,0.0,0.0,0.9518533333333332,0.6856366666666667,0.0,0.0,5
9,10,0,3.9951100000000004,3.252089999999999,0.0,0.0,0.0,0.0,-0.9312233333333332,0.8491066666666663,0.0,0.0,-0.8830766666666664,-0.8365300000000003,0.0,0.0,-0.9381,0.6982166666666665,0.0,0.0,-0.6836166666666665,0.8239599999999996,0.0,0.0,-0.7661533333333331,0.6919266666666661,0.0,0.0,5
10,11,0,2.7983599999999997,3.1389199999999997,0.0,0.0,0.0,0.0,0.9174666666666665,0.7862366666666665,0.0,0.0,0.9656099999999999,-0.7422233333333335,0.0,0.0,-0.9243433333333334,0.7422266666666666,0.0,0.0,0.7180066666666667,-0.8742533333333334,0.0,0.0,-0.69737,-0.8553933333333333,0.0,0.0,5
11,12,0,3.78878,3.70477,0.0,0.0,0.20630000000000592,0.0,0.9931233333333331,0.8491100000000001,0.0,0.0,0.9312233333333332,-0.8491066666666663,0.0,0.0,-0.83493,0.8428199999999997,0.0,0.0,-0.7523933333333334,0.9748533333333332,0.0,0.0,-0.9518533333333332,-0.6856366666666667,0.0,0.0,5
12,13,0,3.8094100000000006,4.157439999999999,0.0,0.0,-0.41270000000001694,0.18870000000001497,-0.9931233333333331,-0.8491100000000001,0.0,0.0,-0.8280533333333331,0.9937099999999995,0.0,0.0,-0.9105866666666662,0.8302433333333331,0.0,0.0,-0.7455166666666664,-0.874256666666667,0.0,0.0,0.9381,-0.6982166666666665,0.0,0.0,5
13,14,0,3.5411699999999993,4.66671,0.0,0.0,0.0,0.377200000000002,-0.9174666666666669,-0.8365333333333336,0.0,0.0,0.9105866666666662,-0.8302433333333331,0.0,0.0,-0.77303,0.836533333333333,0.0,0.0,-0.7248833333333335,-0.9245533333333332,0.0,0.0,0.889953333333333,0.7107866666666667,0.0,0.0,5
14,15,0,3.8713100000000003,5.53435,0.0,0.0,0.0,0.0,-0.7799066666666666,0.9622799999999998,0.0,0.0,-0.8693199999999998,0.7988100000000001,0.0,0.0,-0.889953333333333,-0.7107866666666667,0.0,0.0,-0.662983333333333,-0.8742533333333338,0.0,0.0,-0.9793666666666668,-0.5410299999999999,0.0,0.0,5
15,16,0,3.04596,3.7802100000000003,0.0,0.0,0.0,0.0,0.9174633333333334,0.8679666666666664,0.0,0.0,-0.8418100000000001,0.9559900000000002,0.0,0.0,-0.9174666666666665,-0.7862366666666665,0.0,0.0,-0.8899533333333333,0.7799466666666669,0.0,0.0,0.7523933333333334,-0.9748533333333332,0.0,0.0,5
16,17,0,3.29357,4.176310000000001,0.0,0.0,0.0,-0.3773000000000071,-0.9174633333333334,-0.8679666666666664,0.0,0.0,0.8280533333333331,-0.9937099999999995,0.0,0.0,0.9174666666666669,0.8365333333333336,0.0,0.0,-0.8074166666666667,0.9119800000000003,0.0,0.0,0.83493,-0.8428199999999997,0.0,0.0,5
17,18,0,2.57139,3.9122399999999997,0.0,0.0,0.4125999999999941,0.3772999999999982,0.8418100000000001,-0.9559900000000002,0.0,0.0,0.9518566666666667,0.8239566666666667,0.0,0.0,-0.8486833333333333,0.8616800000000001,0.0,0.0,-0.7730266666666665,-0.9308433333333334,0.0,0.0,0.7592733333333334,0.9119766666666663,0.0,0.0,5
18,19,0,1.8904699999999997,3.70477,0.0,0.0,0.20640000000000214,-0.1886999999999972,0.9243433333333332,0.7925233333333335,0.0,0.0,0.7730266666666665,0.9308433333333334,0.0,0.0,-0.8280533333333334,0.7862366666666661,0.0,0.0,1.0,-0.6667766666666666,0.0,0.0,0.69737,-0.8113833333333332,0.0,0.0,5
19,20,0,1.3746299999999998,4.346060000000001,0.0,0.0,0.0,0.0,0.7523966666666665,-0.9937133333333327,0.0,0.0,0.8280533333333334,-0.7862366666666661,0.0,0.0,0.6010799999999998,-0.8553933333333328,0.0,0.0,0.5529366666666666,0.9685633333333339,0.0,0.0,0.77303,0.6101933333333338,0.0,0.0,5
20,21,0,2.11744,4.3271999999999995,0.0,0.0,0.20640000000000214,0.0,0.8005400000000001,0.9622766666666666,0.0,0.0,0.8486833333333333,-0.8616800000000001,0.0,0.0,-0.9243433333333332,-0.7925233333333335,0.0,0.0,-0.7523966666666665,0.9937133333333327,0.0,0.0,0.6904933333333334,-0.8176700000000002,0.0,0.0,5
21,22,0,2.71582,4.44037,0.0,0.0,0.0,0.0,-0.9518566666666667,-0.8239566666666667,0.0,0.0,-0.8005400000000001,-0.9622766666666666,0.0,0.0,0.8074166666666667,-0.9119800000000003,0.0,0.0,0.9518533333333336,0.7610866666666661,0.0,0.0,0.8899533333333333,-0.7799466666666669,0.0,0.0,5
22,23,0,2.8602599999999994,5.157110000000001,0.0,0.0,0.0,0.18859999999998323,0.8830766666666664,0.8365333333333336,0.0,0.0,-0.9518533333333336,-0.7610866666666661,0.0,0.0,0.77303,-0.836533333333333,0.0,0.0,-0.7317600000000002,0.8805433333333337,0.0,0.0,0.8555633333333331,-0.6730666666666665,0.0,0.0,5
