,no,time,xc,yc,v_x,v_y,v_n_x,v_n_y,near_1_dis_x,near_1_dis_y,near_1_v_x,near_1_v_y,near_2_dis_x,near_2_dis_y,near_2_v_x,near_2_v_y,near_3_dis_x,near_3_dis_y,near_3_v_x,near_3_v_y,near_4_dis_x,near_4_dis_y,near_4_v_x,near_4_v_y,near_5_dis_x,near_5_dis_y,near_5_v_x,near_5_v_y,near_cnt
0,1,0,4.0552,-0.20340000000000025,0.0,0.0,0.2519999999999989,-0.17699999999999605,-0.9855,0.7062666666666668,0.0,0.0,-0.8549999999999999,0.7352999999999998,0.0,0.0,-0.9504333333333331,0.47656666666666647,0.0,0.0,-0.8290000000000001,0.4705666666666666,0.0,0.0,-0.8552333333333332,0.32033333333333314,0.0,0.0,5
1,2,0,3.6201999999999996,0.5907,0.0,0.0,0.18200000000000216,0.13499999999999623,0.8694999999999998,0.9709666666666669,0.0,0.0,-0.9740000000000002,0.7352666666666667,0.0,0.0,0.9045666666666667,0.7412666666666665,0.0,0.0,0.8549999999999999,-0.7352999999999998,0.0,0.0,0.9997666666666666,0.5850333333333333,0.0,0.0,5
2,3,0,4.0117,0.6777999999999995,0.0,0.0,0.07899999999999352,0.028000000000005798,-0.8694999999999998,-0.9709666666666669,0.0,0.0,-0.9649333333333331,0.7702999999999998,0.0,0.0,-0.8435,0.7642999999999999,0.0,0.0,0.9855,-0.7062666666666668,0.0,0.0,-0.8697333333333331,0.6140666666666663,0.0,0.0,5
3,4,0,3.5422000000000002,1.3849,0.0,0.0,0.07499999999999396,-0.008999999999996788,0.8785666666666669,-0.9940000000000001,0.0,0.0,0.9737666666666668,0.8497666666666666,0.0,0.0,0.9740000000000002,-0.7352666666666667,0.0,0.0,0.8435,-0.7642999999999999,0.0,0.0,-0.7200333333333333,0.8543666666666668,0.0,0.0,5
4,5,0,3.9064999999999994,1.3669000000000002,0.0,0.0,0.08500000000000618,0.030999999999998806,-0.8785666666666669,0.9940000000000001,0.0,0.0,-0.9048000000000002,0.8437666666666667,0.0,0.0,0.9649333333333331,-0.7702999999999998,0.0,0.0,-0.9045666666666667,-0.7412666666666665,0.0,0.0,-0.9344666666666669,0.6576333333333337,0.0,0.0,5
5,6,0,2.7023,1.8217999999999996,0.0,0.0,0.17900000000000027,-0.049999999999998934,0.8793666666666669,0.757,0.0,0.0,0.6938000000000002,0.9953999999999997,0.0,0.0,0.7200333333333333,-0.8543666666666668,0.0,0.0,0.6641333333333332,0.8092666666666668,0.0,0.0,0.8653333333333334,0.6109999999999998,0.0,0.0,5
6,7,0,3.6209,1.8356000000000003,0.0,0.0,0.10399999999999743,0.039999999999995595,-0.9737666666666668,-0.8497666666666666,0.0,0.0,0.9048000000000002,-0.8437666666666667,0.0,0.0,0.9703333333333332,0.8138666666666671,0.0,0.0,-0.8144333333333332,0.7616000000000002,0.0,0.0,-0.6938000000000002,-0.9953999999999997,0.0,0.0,5
7,8,0,3.0641999999999996,2.5507999999999997,0.0,0.0,0.17700000000000493,-0.2719999999999967,0.9859666666666665,0.8539999999999998,0.0,0.0,0.8213666666666665,0.8710666666666667,0.0,0.0,0.7847666666666665,-0.9477333333333332,0.0,0.0,-0.8793666666666669,-0.757,0.0,0.0,0.8144333333333332,-0.7616000000000002,0.0,0.0,5
8,9,0,3.7099,2.3939999999999992,0.0,0.0,0.3059999999999974,-0.17999999999998906,-0.9634,0.8187999999999999,0.0,0.0,-0.9703333333333332,-0.8138666666666671,0.0,0.0,-0.7847666666666665,0.9477333333333332,0.0,0.0,-0.7988,0.801733333333333,0.0,0.0,-0.9441,-0.6636333333333335,0.0,0.0,5
9,10,0,3.1063,2.9888000000000003,0.0,0.0,0.06699999999999484,-0.25800000000000267,-0.9859666666666665,-0.8539999999999998,0.0,0.0,0.8353999999999999,-0.9829333333333331,0.0,0.0,0.7988,-0.801733333333333,0.0,0.0,0.8015000000000002,0.7721666666666668,0.0,0.0,-0.9727333333333332,0.6574333333333335,0.0,0.0,5
10,11,0,3.6001000000000003,2.9375999999999998,0.0,0.0,0.1639999999999997,0.31200000000000117,-0.8353999999999999,0.9829333333333331,0.0,0.0,0.9634,-0.8187999999999999,0.0,0.0,-0.8213666666666665,-0.8710666666666667,0.0,0.0,0.9661000000000003,0.7551,0.0,0.0,0.8068333333333335,0.7401666666666664,0.0,0.0,5
11,12,0,3.7017999999999995,3.6723,0.0,0.0,0.6320000000000014,-0.3000000000000025,0.8407333333333332,0.9850666666666665,0.0,0.0,-0.9661000000000003,-0.7551,0.0,0.0,-0.7742333333333334,0.8852666666666668,0.0,0.0,-0.8015000000000002,-0.7721666666666668,0.0,0.0,-0.9018333333333336,0.6939,0.0,0.0,5
12,13,0,4.1796,3.7171000000000003,0.0,0.0,-0.13200000000000323,0.8040000000000003,-0.8407333333333332,-0.9850666666666665,0.0,0.0,-0.8068333333333335,-0.7401666666666664,0.0,0.0,-0.7425666666666668,0.7088333333333334,0.0,0.0,-0.6149666666666667,0.9002000000000002,0.0,0.0,-0.6422333333333334,-0.7572333333333333,0.0,0.0,5
13,14,0,3.0244999999999997,4.0165,0.0,0.0,0.28999999999999915,-0.039999999999995595,0.8723999999999998,0.8086333333333332,0.0,0.0,-0.8731666666666665,0.8080999999999999,0.0,0.0,0.7742333333333334,-0.8852666666666668,0.0,0.0,0.9727333333333332,-0.6574333333333335,0.0,0.0,-0.9537999999999999,0.6130666666666664,0.0,0.0,5
14,15,0,1.7203999999999997,4.7079,0.0,0.0,0.25800000000000267,0.43799999999999173,-0.9617333333333334,0.8141000000000004,0.0,0.0,0.6921333333333335,-0.9614333333333333,0.0,0.0,0.9187,0.6035333333333337,0.0,0.0,0.6115000000000002,0.8435333333333332,0.0,0.0,0.8209666666666665,0.5927,0.0,0.0,5
15,16,0,2.6439999999999992,4.5922,0.0,0.0,0.22400000000000198,-0.16500000000000625,0.9193666666666666,0.8049666666666665,0.0,0.0,0.8731666666666665,-0.8080999999999999,0.0,0.0,0.7455666666666663,-0.9994666666666667,0.0,0.0,-0.6921333333333335,0.9614333333333333,0.0,0.0,-0.6538666666666668,0.7755333333333336,0.0,0.0,5
16,17,0,3.4073,4.5906,0.0,0.0,0.6599999999999984,0.1130000000000031,-0.8723999999999998,-0.8086333333333332,0.0,0.0,-0.7455666666666663,0.9994666666666667,0.0,0.0,-0.8261999999999997,0.8044333333333332,0.0,0.0,0.9018333333333336,-0.6939,0.0,0.0,0.7425666666666668,-0.7088333333333334,0.0,0.0,5
