,no,time,xc,yc,v_x,v_y,v_n_x,v_n_y,near_1_dis_x,near_1_dis_y,near_1_v_x,near_1_v_y,near_2_dis_x,near_2_dis_y,near_2_v_x,near_2_v_y,near_3_dis_x,near_3_dis_y,near_3_v_x,near_3_v_y,near_4_dis_x,near_4_dis_y,near_4_v_x,near_4_v_y,near_5_dis_x,near_5_dis_y,near_5_v_x,near_5_v_y,near_cnt
0,1,0,4.1945,0.5822000000000003,0.0,0.0,0.5030000000000001,0.7810000000000006,-0.8403333333333333,0.8125,0.0,0.0,-0.8314666666666669,0.6249666666666667,0.0,0.0,-0.6720333333333333,0.7406333333333335,0.0,0.0,-0.5731000000000002,0.8286000000000001,0.0,0.0,-0.6391666666666669,0.5061,0.0,0.0,5
1,2,0,3.7154999999999996,1.1447000000000003,0.0,0.0,0.18800000000000594,0.06399999999999295,-0.8317,0.9281333333333336,0.0,0.0,-0.9911333333333335,0.8124666666666668,0.0,0.0,0.8403333333333333,-0.8125,0.0,0.0,-0.7327666666666668,-0.9838999999999999,0.0,0.0,-0.7988333333333335,0.6936,0.0,0.0,5
2,3,0,2.9138,1.0964,0.0,0.0,0.3589999999999982,-0.7610000000000028,0.9010666666666669,0.9120333333333335,0.0,0.0,-0.7681666666666667,0.9355333333333334,0.0,0.0,0.7327666666666668,0.9838999999999999,0.0,0.0,-0.7521999999999999,0.7849333333333334,0.0,0.0,0.7416333333333334,0.7963666666666667,0.0,0.0,5
3,4,0,3.2105999999999995,1.3602999999999996,0.0,0.0,0.08700000000000152,0.0020000000000042206,-0.9010666666666669,-0.9120333333333335,0.0,0.0,0.8317,-0.9281333333333336,0.0,0.0,0.8405666666666664,0.8843333333333332,0.0,0.0,-0.9671333333333335,0.7654666666666664,0.0,0.0,-0.6692333333333336,-0.9765,0.0,0.0,5
4,5,0,3.6889000000000003,1.7073,0.0,0.0,0.013999999999994017,0.2289999999999992,0.9911333333333335,-0.8124666666666668,0.0,0.0,-0.8405666666666664,-0.8843333333333332,0.0,0.0,-0.8077,0.8811333333333332,0.0,0.0,0.8391333333333334,0.7347666666666666,0.0,0.0,-0.8867666666666665,0.7081999999999999,0.0,0.0,5
5,6,0,2.2183,1.2897999999999996,0.0,0.0,-0.15400000000000524,0.25300000000000544,-0.9840333333333332,0.8493999999999998,0.0,0.0,0.7681666666666667,-0.9355333333333334,0.0,0.0,0.6692333333333336,0.9765,0.0,0.0,-0.8877,0.6714333333333331,0.0,0.0,0.7021,0.7419666666666664,0.0,0.0,5
6,7,0,2.1704,1.7416,0.0,0.0,-0.1159999999999961,0.8589999999999964,0.9840333333333332,-0.8493999999999998,0.0,0.0,-0.9036666666666667,0.8220333333333333,0.0,0.0,0.7521999999999999,-0.7849333333333334,0.0,0.0,0.6861333333333333,0.8925666666666666,0.0,0.0,0.6532666666666669,-0.8728999999999999,0.0,0.0,5
7,8,0,1.8814000000000002,2.2755,0.0,0.0,0.22499999999999964,0.10799999999999699,0.9036666666666667,-0.8220333333333333,0.0,0.0,0.8937333333333335,0.7536999999999999,0.0,0.0,0.8877,-0.6714333333333331,0.0,0.0,0.5898000000000001,-0.9294666666666668,0.0,0.0,0.5107333333333335,0.8976000000000001,0.0,0.0,5
8,9,0,3.112,2.0639000000000003,0.0,0.0,-0.18200000000000216,0.4129999999999967,0.9209333333333335,0.8270666666666667,0.0,0.0,0.8077,-0.8811333333333332,0.0,0.0,0.9671333333333335,-0.7654666666666664,0.0,0.0,-0.9339333333333334,-0.6775,0.0,0.0,-0.6861333333333333,-0.8925666666666666,0.0,0.0,5
9,10,0,3.3491999999999997,2.5827,0.0,0.0,0.7359999999999989,0.0039999999999995595,0.9218999999999999,0.8373333333333335,0.0,0.0,-0.9209333333333335,-0.8270666666666667,0.0,0.0,0.7259,-0.9734333333333334,0.0,0.0,0.8867666666666665,-0.7081999999999999,0.0,0.0,0.9625,0.6254,0.0,0.0,5
