,no,time,xc,yc,v_x,v_y,v_n_x,v_n_y,near_1_dis_x,near_1_dis_y,near_1_v_x,near_1_v_y,near_2_dis_x,near_2_dis_y,near_2_v_x,near_2_v_y,near_3_dis_x,near_3_dis_y,near_3_v_x,near_3_v_y,near_4_dis_x,near_4_dis_y,near_4_v_x,near_4_v_y,near_5_dis_x,near_5_dis_y,near_5_v_x,near_5_v_y,near_cnt
0,1,0,3.8094100000000006,5.6852399999999985,0.0,0.0,0.8252999999999844,0.0,-0.8555633333333331,0.8679699999999997,0.0,0.0,-0.9587333333333333,-0.7799466666666675,0.0,0.0,-0.7317599999999995,-0.8428200000000002,0.0,0.0,0.876196666666667,-0.4593000000000004,0.0,0.0,-0.73864,-0.5033100000000006,0.0,0.0,5
1,2,0,3.3761,6.0813299999999995,0.0,0.0,0.20629999999999704,-0.3771999999999842,0.8555633333333331,-0.8679699999999997,0.0,0.0,-0.8761966666666664,-0.71079,0.0,0.0,0.8968299999999999,-0.6479166666666671,0.0,0.0,-0.5185466666666665,-0.7233633333333334,0.0,0.0,-0.8830766666666667,-0.37128000000000017,0.0,0.0,5
2,3,0,3.6856100000000005,5.025080000000001,0.0,0.0,0.6189999999999962,0.0,0.9587333333333333,0.7799466666666675,0.0,0.0,-0.7730266666666662,0.9371266666666672,0.0,0.0,0.9931233333333337,-0.654203333333333,0.0,0.0,-0.7799066666666666,-0.7233633333333331,0.0,0.0,0.8349300000000003,-0.679353333333333,0.0,0.0,5
3,4,0,4.18082,4.06314,0.0,0.0,0.8253000000000021,0.188600000000001,-0.8418066666666665,-0.97485,0.0,0.0,-0.8349300000000003,0.679353333333333,0.0,0.0,-0.6973700000000003,-0.79252,0.0,0.0,-0.6148366666666669,0.9559899999999999,0.0,0.0,0.9793666666666668,-0.4781599999999999,0.0,0.0,5
4,5,0,3.004689999999999,5.213699999999999,0.0,0.0,0.20640000000001102,-0.188600000000001,0.7730266666666662,-0.9371266666666672,0.0,0.0,0.7317599999999995,0.8428200000000002,0.0,0.0,0.8761966666666664,0.71079,0.0,0.0,0.9931199999999997,-0.6604900000000002,0.0,0.0,-0.6423500000000002,0.9874266666666666,0.0,0.0,5
5,6,0,3.7062399999999993,3.9876899999999997,0.0,0.0,0.8254000000000072,0.0,0.8418066666666665,0.97485,0.0,0.0,-0.8555633333333338,-0.81767,0.0,0.0,-0.7730300000000003,0.9308399999999999,0.0,0.0,-0.9931233333333337,0.654203333333333,0.0,0.0,-0.6629833333333337,-0.7736599999999999,0.0,0.0,5
6,7,0,3.0253300000000003,4.19517,0.0,0.0,0.4126999999999992,0.0,0.7730300000000003,-0.9308399999999999,0.0,0.0,-0.7867833333333332,-0.8742566666666663,0.0,0.0,0.9174666666666665,-0.7485099999999998,0.0,0.0,-0.7180033333333331,0.9685633333333333,0.0,0.0,-0.8899533333333333,-0.7044999999999997,0.0,0.0,5
7,8,0,3.2729300000000006,3.4406999999999996,0.0,0.0,0.0,0.18860000000000987,-0.8074199999999999,-0.9559899999999999,0.0,0.0,0.8555633333333338,0.81767,0.0,0.0,-0.9174666666666665,0.7485099999999998,0.0,0.0,-0.9380999999999998,-0.717076666666667,0.0,0.0,-0.7042499999999998,0.8742533333333334,0.0,0.0,5
8,9,0,4.242719999999999,2.4976199999999995,0.0,0.0,0.20630000000000592,-0.188600000000001,-0.9793666666666668,-0.8616800000000001,0.0,0.0,-0.8005400000000001,1.0,0.0,0.0,-0.7867833333333335,-0.8302466666666669,0.0,0.0,-0.876196666666667,-0.7045000000000001,0.0,0.0,-0.6148366666666669,0.968563333333333,0.0,0.0,5
9,10,0,3.6443399999999997,2.4976199999999995,0.0,0.0,0.6189999999999962,0.18860000000000987,-0.9862433333333334,-0.8302466666666669,0.0,0.0,-0.8142966666666668,0.968563333333333,0.0,0.0,0.8005400000000001,1.0,0.0,0.0,0.8211733333333333,-0.8616800000000001,0.0,0.0,0.9243433333333332,-0.7045000000000001,0.0,0.0,5
