,no,time,xc,yc,v_x,v_y,v_n_x,v_n_y,near_1_dis_x,near_1_dis_y,near_1_v_x,near_1_v_y,near_2_dis_x,near_2_dis_y,near_2_v_x,near_2_v_y,near_3_dis_x,near_3_dis_y,near_3_v_x,near_3_v_y,near_4_dis_x,near_4_dis_y,near_4_v_x,near_4_v_y,near_5_dis_x,near_5_dis_y,near_5_v_x,near_5_v_y,near_cnt
0,1,0,4.676030000000001,0.7057599999999997,0.0,0.0,0.0,0.0,-0.7661499999999997,-0.9559900000000002,0.0,0.0,-0.9312199999999997,0.7673733333333331,0.0,0.0,-0.7180033333333329,0.84282,0.0,0.0,-0.821173333333333,0.6227666666666665,0.0,0.0,-0.6492266666666666,0.5410333333333333,0.0,0.0,5
1,2,0,3.97448,0.5737300000000003,0.0,0.0,0.0,0.188600000000001,-0.9518533333333332,0.7988100000000001,0.0,0.0,0.7661499999999997,0.9559900000000002,0.0,0.0,0.83493,0.7233633333333334,0.0,0.0,0.9449766666666667,0.5787566666666668,0.0,0.0,-0.8830766666666671,0.4970233333333335,0.0,0.0,5
2,3,0,3.8300399999999994,1.1772999999999998,0.0,0.0,0.0,0.0,0.9518533333333332,-0.7988100000000001,0.0,0.0,0.7867833333333332,0.9245533333333332,0.0,0.0,0.8968299999999999,0.7799466666666666,0.0,0.0,-0.9312233333333338,0.6982133333333334,0.0,0.0,0.7180033333333329,-0.84282,0.0,0.0,5
3,4,0,4.46969,1.4036400000000002,0.0,0.0,0.0,0.0,-0.8899533333333333,0.8553933333333333,0.0,0.0,-0.7867833333333332,-0.9245533333333332,0.0,0.0,0.9312199999999997,-0.7673733333333331,0.0,0.0,-0.83493,-0.7233633333333334,0.0,0.0,-0.7180066666666669,0.7736600000000001,0.0,0.0,5
4,5,0,4.13955,1.83746,0.0,0.0,0.0,0.0,0.8899533333333333,-0.8553933333333333,0.0,0.0,-0.8280533333333336,0.9182666666666668,0.0,0.0,-0.8968299999999999,-0.7799466666666666,0.0,0.0,-0.9862433333333334,0.7485099999999998,0.0,0.0,0.821173333333333,-0.6227666666666665,0.0,0.0,5
5,6,0,3.623710000000001,2.0826599999999997,0.0,0.0,0.0,-0.188600000000001,0.8280533333333336,-0.9182666666666668,0.0,0.0,0.8418100000000003,0.8302433333333331,0.0,0.0,-0.7936599999999995,0.8616800000000001,0.0,0.0,0.9312233333333338,-0.6982133333333334,0.0,0.0,0.7180066666666669,-0.7736600000000001,0.0,0.0,5
6,7,0,4.09828,2.5919300000000005,0.0,0.0,0.4126999999999992,-0.3773000000000071,-0.8418100000000003,-0.8302433333333331,0.0,0.0,0.9862433333333334,-0.7485099999999998,0.0,0.0,-0.97249,0.7485133333333336,0.0,0.0,-0.6354699999999998,-0.968563333333333,0.0,0.0,-0.70425,0.7296500000000001,0.0,0.0,5
7,8,0,3.004689999999999,2.4976199999999995,0.0,0.0,0.0,0.0,-0.8762000000000002,0.8302466666666662,0.0,0.0,0.7936599999999995,-0.8616800000000001,0.0,0.0,0.9312199999999997,0.6982133333333331,0.0,0.0,-0.8555666666666669,0.68564,0.0,0.0,0.6354699999999998,0.968563333333333,0.0,0.0,5
8,9,0,4.01575,3.3463899999999995,0.0,0.0,0.0,0.0,-0.9656100000000002,0.7799466666666666,0.0,0.0,0.97249,-0.7485133333333336,0.0,0.0,-0.7317600000000002,0.9811366666666664,0.0,0.0,-0.8005399999999998,0.7547966666666666,0.0,0.0,-0.9380966666666666,0.6164799999999999,0.0,0.0,5
9,10,0,2.6332899999999997,3.0068800000000007,0.0,0.0,0.0,0.0,-0.9793666666666668,0.8553933333333337,0.0,0.0,0.8762000000000002,-0.8302466666666662,0.0,0.0,0.8074199999999999,0.8679666666666668,0.0,0.0,-0.9656099999999999,0.66049,0.0,0.0,0.7386400000000002,0.641626666666667,0.0,0.0,5
