,no,time,xc,yc,v_x,v_y,v_n_x,v_n_y,near_1_dis_x,near_1_dis_y,near_1_v_x,near_1_v_y,near_2_dis_x,near_2_dis_y,near_2_v_x,near_2_v_y,near_3_dis_x,near_3_dis_y,near_3_v_x,near_3_v_y,near_4_dis_x,near_4_dis_y,near_4_v_x,near_4_v_y,near_5_dis_x,near_5_dis_y,near_5_v_x,near_5_v_y,near_cnt
0,1,0,3.5645999999999995,0.3073999999999999,0.0,0.0,0.28200000000000003,0.275000000000003,0.8027000000000001,0.9837333333333332,0.0,0.0,0.9366333333333333,0.7034999999999998,0.0,0.0,-0.9040000000000002,0.6525333333333332,0.0,0.0,-0.6776666666666669,0.7354999999999998,0.0,0.0,-0.5056666666666667,0.9466333333333332,0.0,0.0,5
1,2,0,4.156499999999999,0.3562000000000003,0.0,0.0,0.11800000000000033,0.33199999999999896,-0.8027000000000001,-0.9837333333333332,0.0,0.0,-0.8660666666666668,0.7197666666666667,0.0,0.0,-0.7067000000000003,0.6688000000000001,0.0,0.0,-0.8235666666666669,0.4806666666666667,0.0,0.0,-0.48036666666666683,0.7517666666666667,0.0,0.0,5
2,3,0,2.5976,1.1009000000000002,0.0,0.0,0.00600000000000378,0.4300000000000015,0.7736666666666666,0.9170333333333334,0.0,0.0,-0.8101333333333333,0.8223666666666668,0.0,0.0,-0.828,-0.7888666666666667,0.0,0.0,0.6143000000000001,0.968,0.0,0.0,0.9191666666666668,0.618166666666667,0.0,0.0,5
3,4,0,3.2766,1.3498,0.0,0.0,0.3339999999999943,0.41999999999999815,0.8406333333333335,-0.9490333333333334,0.0,0.0,0.8831333333333333,0.8118666666666666,0.0,0.0,-0.7736666666666666,-0.9170333333333334,0.0,0.0,-0.8544999999999998,0.7011333333333336,0.0,0.0,0.9040000000000002,-0.6525333333333332,0.0,0.0,5
4,5,0,3.7546999999999997,1.1969000000000003,0.0,0.0,0.1670000000000016,0.08399999999999963,-0.8406333333333335,0.9490333333333334,0.0,0.0,-0.9575000000000001,0.7609,0.0,0.0,-0.9366333333333333,-0.7034999999999998,0.0,0.0,0.8660666666666668,-0.7197666666666667,0.0,0.0,-0.6143000000000001,-0.968,0.0,0.0,5
5,6,0,2.0279999999999996,1.6338,0.0,0.0,0.24399999999999977,0.09999999999999787,0.8101333333333333,-0.8223666666666668,0.0,0.0,0.7293000000000001,0.7958000000000002,0.0,0.0,0.9821333333333332,-0.6112333333333335,0.0,0.0,0.5837999999999999,-0.9053333333333334,0.0,0.0,0.9022666666666664,0.5427,0.0,0.0,5
6,7,0,3.6272,1.9142000000000001,0.0,0.0,0.7139999999999969,-0.07600000000000051,0.9252333333333335,0.8373333333333335,0.0,0.0,-0.8831333333333333,-0.8118666666666666,0.0,0.0,0.9575000000000001,-0.7609,0.0,0.0,-0.7376333333333331,0.8892666666666669,0.0,0.0,-0.9711666666666666,0.5669333333333333,0.0,0.0,5
7,8,0,2.8400999999999996,2.2463999999999995,0.0,0.0,0.7220000000000049,0.057000000000000384,0.7376333333333331,-0.8892666666666669,0.0,0.0,-0.8270333333333335,0.7468999999999999,0.0,0.0,0.8544999999999998,-0.7011333333333336,0.0,0.0,-0.7293000000000001,-0.7958000000000002,0.0,0.0,0.6628666666666667,0.9480666666666666,0.0,0.0,5
8,9,0,3.8514999999999997,2.4021999999999997,0.0,0.0,0.990000000000002,-0.019999999999997797,-0.9252333333333335,-0.8373333333333335,0.0,0.0,-0.8964000000000002,0.7295999999999998,0.0,0.0,-0.6628666666666667,-0.9480666666666666,0.0,0.0,-0.8083666666666668,-0.6492000000000002,0.0,0.0,-0.9677333333333333,-0.5982333333333336,0.0,0.0,5
9,10,0,2.3212,3.0057,0.0,0.0,0.4549999999999965,0.4779999999999962,0.8270333333333335,-0.7468999999999999,0.0,0.0,0.5934999999999999,0.9307666666666666,0.0,0.0,0.7126000000000001,0.6752666666666667,0.0,0.0,-0.9022666666666664,-0.5427,0.0,0.0,0.8950666666666667,0.4754333333333335,0.0,0.0,5
10,11,0,3.5407,3.2134,0.0,0.0,0.710999999999995,-0.23699999999999832,-0.8808999999999999,0.7445000000000002,0.0,0.0,0.891,0.7392000000000001,0.0,0.0,0.8964000000000002,-0.7295999999999998,0.0,0.0,-0.7664666666666665,-0.6776666666666664,0.0,0.0,-0.5934999999999999,-0.9307666666666666,0.0,0.0,5
11,12,0,3.1834,3.9798999999999998,0.0,0.0,0.16300000000000203,0.007999999999999119,0.7718999999999999,0.9946999999999999,0.0,0.0,-0.8175333333333334,0.8001666666666667,0.0,0.0,0.8808999999999999,-0.7445000000000002,0.0,0.0,0.7477333333333334,0.8335333333333331,0.0,0.0,-0.9959333333333333,0.5755999999999999,0.0,0.0,5
12,13,0,3.8677,3.9958,0.0,0.0,0.6199999999999939,0.1159999999999961,0.9758333333333334,0.8388333333333332,0.0,0.0,-0.7718999999999999,-0.9946999999999999,0.0,0.0,-0.891,-0.7392000000000001,0.0,0.0,-0.5894333333333333,0.8054666666666668,0.0,0.0,-0.7678333333333333,0.5809,0.0,0.0,5
13,14,0,3.9402,4.4793,0.0,0.0,0.31200000000000117,-0.029000000000003467,-0.9758333333333334,-0.8388333333333332,0.0,0.0,-0.7477333333333334,-0.8335333333333331,0.0,0.0,-0.7436666666666667,0.7420666666666669,0.0,0.0,-0.5652666666666668,0.9666333333333336,0.0,0.0,-0.8668333333333335,-0.5780333333333332,0.0,0.0,5
14,15,0,2.636,4.5794,0.0,0.0,0.10199999999999321,-0.2319999999999922,-0.7915666666666666,0.8923,0.0,0.0,-0.9161666666666667,0.7543000000000001,0.0,0.0,0.8175333333333334,-0.8001666666666667,0.0,0.0,0.8216000000000001,0.7754333333333333,0.0,0.0,0.9184000000000001,0.5783666666666665,0.0,0.0,5
15,16,0,2.0107,4.9025,0.0,0.0,-0.07299999999999862,-1.178000000000008,0.8754,0.8620000000000001,0.0,0.0,0.7915666666666666,-0.8923,0.0,0.0,-0.6992666666666667,0.8613666666666665,0.0,0.0,0.8489999999999999,0.6682999999999997,0.0,0.0,0.6131666666666666,0.8831333333333333,0.0,0.0,5
16,17,0,1.1085000000000003,5.3184000000000005,0.0,0.0,0.09500000000000064,0.08599999999999497,0.6992666666666667,-0.8613666666666665,0.0,0.0,0.8343666666666669,0.706366666666667,0.0,0.0,0.5746666666666667,-0.9993666666666664,0.0,0.0,0.6619000000000002,0.6849000000000001,0.0,0.0,0.5482666666666667,0.8069333333333333,0.0,0.0,5
17,18,0,2.3845,5.3165,0.0,0.0,-0.00600000000000378,0.24100000000000676,-0.8754,-0.8620000000000001,0.0,0.0,0.9735999999999999,0.8062999999999997,0.0,0.0,0.8345666666666668,0.8240666666666664,0.0,0.0,0.9161666666666667,-0.7543000000000001,0.0,0.0,0.7377666666666667,-0.9788666666666668,0.0,0.0,5
18,19,0,3.1712,5.2531,0.0,0.0,0.1470000000000038,-0.07600000000000051,-0.9032,0.8029333333333332,0.0,0.0,-0.7377666666666667,0.9788666666666668,0.0,0.0,-0.8216000000000001,-0.7754333333333333,0.0,0.0,-0.7641666666666668,0.7851666666666665,0.0,0.0,0.7436666666666667,-0.7420666666666669,0.0,0.0,5
19,20,0,1.6053999999999995,6.199299999999999,0.0,0.0,-0.14199999999999768,-0.8079999999999998,0.8275333333333332,0.978533333333333,0.0,0.0,0.7138999999999998,-0.8994333333333339,0.0,0.0,-0.8343666666666669,-0.706366666666667,0.0,0.0,0.7402999999999997,-0.7057333333333335,0.0,0.0,0.5748666666666666,-0.8816666666666672,0.0,0.0,5
20,21,0,2.1228,6.2637,0.0,0.0,-0.10299999999999976,-0.2710000000000079,0.8863666666666665,-0.8779666666666669,0.0,0.0,-0.8275333333333332,-0.978533333333333,0.0,0.0,0.7473333333333334,-0.8602000000000002,0.0,0.0,0.9127666666666666,-0.6842666666666666,0.0,0.0,0.6136333333333333,0.9597333333333337,0.0,0.0,5
21,22,0,2.4637000000000002,5.897600000000001,0.0,0.0,0.13799999999999812,0.0009999999999976694,0.8609666666666668,-0.9822333333333333,0.0,0.0,-0.8863666666666665,0.8779666666666669,0.0,0.0,-0.9735999999999999,-0.8062999999999997,0.0,0.0,-0.7138999999999998,0.8994333333333339,0.0,0.0,0.7272666666666667,0.8377000000000004,0.0,0.0,5
22,23,0,2.8808,5.8443000000000005,0.0,0.0,0.43700000000000294,-0.053999999999998494,-0.8609666666666668,0.9822333333333333,0.0,0.0,0.9032,-0.8029333333333332,0.0,0.0,0.8662999999999998,0.8199333333333337,0.0,0.0,-0.8345666666666668,-0.8240666666666664,0.0,0.0,-0.7473333333333334,0.8602000000000002,0.0,0.0,5
23,24,0,3.2819000000000003,6.384499999999999,0.0,0.0,0.1529999999999987,-0.47399999999999665,-0.8662999999999998,-0.8199333333333337,0.0,0.0,-0.7272666666666667,-0.8377000000000004,0.0,0.0,-0.9630999999999998,-0.6228666666666669,0.0,0.0,-0.6136333333333333,-0.9597333333333337,0.0,0.0,-0.7008666666666665,-0.6440000000000001,0.0,0.0,5
24,25,0,0.5222999999999995,1.0187,0.0,0.0,-0.044999999999992824,-0.0070000000000014495,0.4981,0.7949666666666667,0.0,0.0,0.4802333333333332,-0.8162666666666668,0.0,0.0,0.30823333333333325,0.9725999999999999,0.0,0.0,0.22739999999999994,0.5907666666666669,0.0,0.0,0.4003666666666664,0.33766666666666667,0.0,0.0,5
25,26,0,2.0816,0.46750000000000025,0.0,0.0,0.0,0.0,0.828,0.7888666666666667,0.0,0.0,-0.9821333333333332,0.6112333333333335,0.0,0.0,0.6016666666666666,0.7059,0.0,0.0,0.5056666666666667,-0.9466333333333332,0.0,0.0,-0.4802333333333332,0.8162666666666668,0.0,0.0,5
26,1,1,3.5736,0.31679999999999975,0.0,0.0,0.4610000000000003,0.365000000000002,0.8033999999999999,0.9819999999999999,0.0,0.0,0.9373999999999999,0.7066333333333332,0.0,0.0,-0.9055333333333332,0.6500333333333332,0.0,0.0,-0.6747333333333332,0.7318333333333333,0.0,0.0,-0.5026666666666666,0.9497666666666665,0.0,0.0,5
27,2,1,4.1634,0.3708,0.0,0.0,0.270999999999999,0.23100000000000342,-0.8033999999999999,-0.9819999999999999,0.0,0.0,-0.866,0.7246333333333332,0.0,0.0,-0.7089333333333332,0.6680333333333335,0.0,0.0,-0.8299666666666665,0.48570000000000013,0.0,0.0,-0.4781333333333331,0.7498333333333334,0.0,0.0,5
28,3,1,2.5977999999999994,1.1212999999999997,0.0,0.0,-0.019999999999997797,0.4640000000000022,0.7692,0.9182,0.0,0.0,-0.812766666666667,0.8276333333333333,0.0,0.0,-0.8279333333333335,-0.7820666666666668,0.0,0.0,0.9115333333333332,0.6250333333333333,0.0,0.0,0.6121333333333332,0.9747999999999998,0.0,0.0,5
29,4,1,3.2901999999999996,1.3666999999999998,0.0,0.0,0.5040000000000067,0.541999999999998,0.8429333333333332,-0.9434000000000001,0.0,0.0,0.8789666666666666,0.8176666666666668,0.0,0.0,-0.7692,-0.9182,0.0,0.0,-0.8576666666666668,0.7068333333333332,0.0,0.0,0.9055333333333332,-0.6500333333333332,0.0,0.0,5
